id,author,title,publication_year,venue,search_string
65,Elena Bruches|Vadim Alperovich|Dari Baturova|Roman Derunets|Daniil Grebenkin|Georgy Mkrtchyan|Oleg Sedukhin|Mikhail Klementev|Ivan Bondarenko|Nikolay Bushkov|Stanislav Moiseev,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,2026,ArXiv.org,string 1
66,JORGE ANDRÉ DE OLIVEIRA GONÇALVES,CodeAssert: Multi-Provider LLM Evaluation for Automated Unit Test Generation,2025,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",string 1
67,Vladyslav Maliarenko,AI-BASED AUTOMATION OF DECISION LOGIC REPRESENTATION: BRIDGING GAP IN AUTOMATED DECISION MODELING VALIDATION,2025,Computer Systems and Information Technologies,string 1
68,Vladimir Parkhomenko|Dmitriy Kondryukov|Yuliya Liyapunova,Set of generated API tests for work Automatic generation of API tests in Java using LLM,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
69,Marwa Mnasri|Afef Jmal Maâlej|Mohamed Jmaïel,Comprehensive Overview: Ethereum Smart Contract Security Testing for Reentrancy Issues,2025,Lecture notes in computer science,string 1
70,Shuvendu K. Lahiri,AI-Assisted User Intent Formalization for Programs: Problem and Applications (Invited Talk),2024,,string 1
71,Claudia Poleri,Sex-Based Differences in Lung Cancer: Does It Matter?,2022,Journal of Thoracic Oncology,string 1
72,Anonymous,"Artifact for ""LLMutantKiller: Using Large Language Models to Generate Tests that Kill Mutants""",2026,Zenodo (CERN European Organization for Nuclear Research),string 1
73,Zeyu Lu|Peng Zhang|Yuge Nie|Yibiao Yang|Yutian Tang|Chun Yong Chong|Yuming Zhou,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,2026,Proceedings of the ACM on Programming Languages,string 1
74,Nikolaos Louloudakis|Perry Gibson|José Cano|Ajitha Rajan,Exploring Robustness of Image Recognition Models on Hardware Accelerators,2023,arXiv (Cornell University),string 1
75,Andrea Stocco|Paulo J. Nunes|Marcelo d’Amorim|Paolo Tonella,ThirdEye: Attention Maps for Safe Autonomous Driving Systems,2022,Zenodo (CERN European Organization for Nuclear Research),string 1
76,Ricardo Brancas|Vasco Manquinho|Ruben Martins,ProDebug: An Automated Debugging System for Prolog,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
77,Yonghao Wang|Hongqin Lyu|Boling Chen|MinYang Bao|Wenchao Ding|Feng Gu|Zhiteng Chao|Jianan Mu|Kan Shi|Tiancheng Wang|Huawei Li,From Indiscriminate to Targeted: Efficient RTL Verification via Functionally Key Signal-Driven LLM Assertion Generation,2026,ArXiv.org,string 1
78,"Meng Li|Xiaohua Yang|Liu, Jie, 1970-|Shiyu Yan",A semantic mutation metric for metamorphic relation adequacy in scientific computing programs,2026,ArXiv.org,string 1
79,Maohua Nie|Jiang Zhu|Jingqun Zhang|Zhichen Zeng|Jiayi Wang|Sibo Zhang|Jialin Wang|Richard ard Shi,HierSVA-DS: A Hierarchical SystemVerilog Assertion Dataset for BasejumpSTL,2026,Harvard Dataverse,string 1
80,Tasfia Tasnim|Soneya Binta Hossain,PITMuS: A Tool for Automated Bug Dataset Generation via Source-Level Mutant Reconstruction,2026,ArXiv.org,string 1
81,Leon Kogler|Stefan Hangler|Maximilian Ehrhart|Benedikt Dornauer|Roland Wuersching|Peter Schrammel,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,2026,ArXiv.org,string 1
82,Lingaraj Nayak|Anant Gokarn|Prasanth Ganesan|Hari Menon|Nidhi Tandon|Naresh Ramarajan|Vishal Vashistha,Real World Data of FLT3 Mutation Testing Rates Among Indian Patients with Acute Myeloid Leukemia: An AI-Enabled Intervention to Improve Guideline-Compliant Care,2024,Blood,string 1
83,Ayesha Habib|Huixiang Zhang|Waiz Haider|Tianlu Liu,"Reproducibility Artifact for the JISA submission ""Near-Automated Extraction of NGAC Access Control Policies from Natural Language via a Multi-LLM Pipeline with Mutation-Based Verification Rigor""",2026,Zenodo (CERN European Organization for Nuclear Research),string 1
84,Gültekin B. Çetiner|Cem Bağlum|Uğur Yayan|Ahmet Yazıcı,White Box Testing Module for Evaluation of Transformers-Based DNNs,2024,,string 1
85,Charlie Saillard|Pierre‐Antoine Bannier|Philipp Mann|Charles Maussion|Christian Matek|Arndt Hartmann|Markus Eckstein,AI-based identification of FGFR3 mutation status from routine histology slides of muscle-invasive bladder cancer.,2023,Journal of Clinical Oncology,string 1
86,Bo Wang|Ming Deng|Mingda Chen|Chengran Yang|Youfang Lin|Mark Harman|Mike Papadakis|Jie M. Zhang,Boosting LLMs for Mutation Generation,2026,arXiv (Cornell University),string 1
87,Harshit Sunilkumar Vora,Artificial Intelligence for Accessibility and Performance Auditing: Automated Findings with Human Judgment,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
88,Nilüfer YİĞİT|Hilal Argüner|Sevin Başer|Hande Şenol|Gamze GÖKÖZ|Ümit Aydoğmuş|Ferda BİR|Aziz Gültekin,Association between metabolic activity and molecular alterations in lung adenocarcinoma: Insights from 18F-FDG PET/CT,2026,Tuberkuloz ve Toraks,string 1
89,Harshit Sunilkumar Vora,Artificial Intelligence for Accessibility and Performance Auditing: Automated Findings with Human Judgment,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
90,"Franky, Joy",AI-DRIVEN DEV: BUILDING SMARTER SOFTWARE,2025,Zenodo (CERN European Organization for Nuclear Research),string 1
91,Meng Li,A semantic mutation metric for metamorphic relation adequacy in scientific computing programs,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
92,Humaun Kabir|Md Tauhidul Islam|Helen H. Lou,STMutants: A Dataset of Mutants of Structured Text Programs,2026,Figshare,string 1
93,Tzafrir Rehan,Test-Driven AI Agent Definition (TDAD): Compiling Tool-Using Agents from Behavioral Specifications,2026,ArXiv.org,string 1
94,Emmanuel Rios Velazquez|Chintan Parmar|Ying Liu|Thibaud Coroller|Gisele Cruz|Olya Stringfield|Zhaoxiang Ye|Mike Makrigiorgos|Fiona Fennessy|Raymond H. Mak|Robert J. Gillies|John Quackenbush|Hugo J.W.L. Aerts,Data from Somatic Mutations Drive Distinct Imaging Phenotypes in Lung Cancer,2023,,string 1
95,Anonymous,Anonymous Artifact for ASE 2026 Submission,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
96,Samira Shirzadehhajimahmood,Automated Testing of Computer Games Using an Agent-Based Approach,2025,,string 1
97,Yen‐Yu Lin|Lei‐Chi Wang|Yu-Han Hsieh|Sih-Kai Chuang|Yung-An Chen|Yu-Chieh Lin|Yen-Yin Lin|Teh-Ying Chou,"Abstract 488: Computer-assisted three-dimensional quantitation of programmed death-ligand 1 expression in non-small cell lung cancer using tissue clearing technology on formalin-fixed, paraffin-embedded specimen",2021,Cancer Research,string 1
98,Elisa Bertelli|Carmine Russo,Vibe Science,2026,Open MIND,string 1
99,Sehhoon Park|Jong‐Chan Park|Minuk Ma|Hyun Ae Jung|Jong‐Mu Sun|Yoon‐La Choi|Jin Seok Ahn|Myung‐Ju Ahn|Sanghoon Song|Gahee Park|Sukjun Kim|Huijeong Kim|Seunghwan Shin|Chan‐Young Ock|Se‐Hoon Lee,Abstract 5399: Deep learning-based ensemble model using H&amp;E images for the prediction of KRAS G12C mutations in non-small cell lung cancer,2023,Cancer Research,string 1
100,Sophie Visvikis‐Siest|Maria G. Stathopoulou|Raute Sunder‐Plaßmann|Behrooz Z. Alizadeh|Robert Barouki|Ekaterina Chatzaki|Georges Dagher|George Dedoussis|Panagiotis Deloukas|Alexander Haliassos|Brigitte Boisson Hiegel|Vangelis G. Manolopoulos|Christine Masson|Guillaume Paré|Markus Paulmichl|Alexandros M. Petrelis|Csilla Sipeky|Belgin Süsleyici Duman|G. Weryha|Alex Chenchik|Paul Diehl|Robin E. Everts|Alexander Haushofer|John Lamont|Ruth Mercado|Heiko Meyer|Herna Munoz-Galeano|Helena Murray|Ferrier Nhat|Charity Nofziger|Wolfgang Schnitzel|Stavroula Kanoni,"The 10th Santorini conference: Systems medicine, personalised health and therapy. “The odyssey from hope to practice: Patient first. Keep Ithaca always in your mind”, Santorini, Greece, 23–26 May 2022",2023,Frontiers in Genetics,string 1
101,Sanjay Pandanaboyana|Kjetil Søreide,Surveillance and Surgery for IPMN: An Urgent Call to Challenge the Status Quo!,2026,United European Gastroenterology Journal,string 1
102,David Kerr|Rahman Abdul|Jazieh|Abdul Rahman Jazieh|David Kerr|Rachel Kerr|Nagham Sheblaq|Ola Babelli|Valerie Clark|Calum Kerr|Stewart Kerr|Debbie Stephenson|Marie Datario|George Tran|Jonathan Nicolla|Fred Friedman|Gregory Samsa|Peter Ubel|Kathryn Pollak|Yousuf Zafar|Abid Jameel|Sadaf Chiragh|Mohammed Algarni|Ashwaq Al Olayan|Fahad Azzumea|Abdul Rahman|Wu Lige|Wang Guohua|Deva Reddy|Reddy Ram|Reddy Sayukta|Mohammed Erraisse|Ouafae Masbah|Touria Bouhafa|Khalid Hassouni|Ghulam Syed|Mona Alshami|Khadega Abdulgasim|Nour Ibrahim|Salem Alshehri|Nashmia Almutairi|Saadia Ur-Razzaq|Safaa Al-Zeidaneen|Ali Al-Ebuos|Khadega Abuelgasim|Andrea Doherty|Kholoud Alameer|Ziad Alzahrani|Yahya Bakheet|Malia Ravestijn|Emelin Anfone|Allyn Alfeche|Erlinda Osmillo|Tayseer Mostafa|Mohsen Alzahrani|Hanan Edrees|Jamal Zekri|Azhar Nawaz|Haleem Rasool|Imran Ahmad|Hossam Rahman|Reyad Dada|Ehab Abdelghany|Kamel Farag|Refaei Belal|Mohamed Deibas|Mohamed Kamal Kamel|Ahmad Allithy|Abdullah Algarni|Riyadh Alghamdi|Abdulrhman Alzamil|Rayan Alturki|Mohammed Almutairi|Humoud Alhoraim|Emad Masuadi|Maaz Alata|Reem Zabani|Bouchra Abou|El Jaoud|Zineb Benbrahim|Hanae Bedoudou|Karima Oualla|Lamiae Amaadour|Samia Arifi|Naoufel Mellas|Mariam Benhami|Lamiae Amaadou|Naoufal Mellas|Faisal Farooqui|Ali Al Khathami|Tabrez Pasha|Ayman Hejazi|Abdullah Al Qarni|Al Zahrani|Al Faisal|Abdul Safi|Jazieh Rahman|Nashmia Al Mutairi|Abdulaziz Zaben|Ahmed Bin,"Conference Proceedings for the International Forum on Quality Cancer Care September 8 and 9, 2018",2018,Global Journal on Quality and Safety in Healthcare,string 1
