id,title,authors,year,venue,search_strings,v1_decision,v1_reason
109,Syntest-JavaScript: Automated Unit-Level Test Case Generation for JavaScript,Mitchell Olsthoorn and Dimitri Stallenberg and Annibale Panichella,2024,"Proceedings - 2024 IEEE/ACM International Workshop on Search-Based and Fuzz Testing, SBFT 2024",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
110,Mutation-based consistency testing for evaluating the code understanding capability of llms,Ziyu Li and Donghwan Shin,2024,"Proceedings - 2024 IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI, CAIN 2024",String A,INCLUDE,
111,Syntax Is All You Need: A Universal-Language Approach to Mutant Generation,Sourav Deb and Kush Jain and Rijnard van Tonder and Claire Le Goues and Alex Groce,2024,Proceedings of the ACM on Software Engineering,String A + String C,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
112,DeciX: Explain Deep Learning Based Code Generation Applications,Simin Chen and Zexin Li and Wei Yang and Cong Liu,2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
113,NaturalFuzz: Natural Input Generation for Big Data Analytics,Ahmad Humayun and Yaoxuan Wu and Miryung Kim and Muhammad Ali Gulzar,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
114,Engaging Developers in Exploratory Unit Testing through Gamification,Philipp Straubinger and Gordon Fraser,2024,"Gamify 2024 - Proceedings of the 3rd ACM International Workshop on Gamification in Software Development, Verification, and Validation, Co-located with: ISSTA 2024",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
115,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,Yicheng Ouyang and Jun Yang and Lingming Zhang,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,
116,Large Language Models for Equivalent Mutant Detection: How Far Are We?,Zhao Tian and Honglin Shu and Dong Wang and Xuejie Cao and Yasutaka Kamei and Junjie Chen,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,
117,Using Deep Learning to Automatically Improve Code Readability,Antonio Vitale and Valentina Piantadosi and Simone Scalabrino and Rocco Oliveto,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
118,"To Share, or Not to Share: Exploring Test-Case Reusability in Fork Ecosystems",Mukelabai Mukelabai and Christoph Derks and Jacob KrÃ¼ger and Thorsten Berger,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
119,Domain Adaptation for Code Model-Based Unit Test Case Generation,Jiho Shin and Sepehr Hashtroudi and Hadi Hemmati and Song Wang,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A + String C,INCLUDE,
120,Learning the Effects of Software Changes,Laura Plein,2024,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
121,Gamma: Revisiting Template-Based Automated Program Repair Via Mask Prediction,Quanjun Zhang and Chunrong Fang and Tongke Zhang and Bowen Yu and Weisong Sun and Zhenyu Chen,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
122,CAT-LM Training Language Models on Aligned Code And Tests,Nikitha Rao and Kush Jain and Uri Alon and Claire Le Goues and Vincent J. Hellendoorn,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
123,ExpressAPR: Efficient Patch Validation for Java Automated Program Repair Systems,Yuan An Xiao and Chenyang Yang and Bo Wang and Yingfei Xiong,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
124,Semantic Conformance Testing of Relational DBMS,Shuang Liu and Chenglin Tian and Jun Sun and Ruifeng Wang and Wei Lu and Yongxin Zhao and Yinxing Xue and Junjie Wang and Xiaoyong Du,2025,Proceedings of the VLDB Endowment,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
125,Fuzzing for CPS Mutation Testing,Jaekwon Lee and Enrico ViganÃ² and Oscar Cornejo and Fabrizio Pastore and Lionel Briand,2023,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
126,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,Congying Xu and Songqiang Chen and Jiarong Wu and Shing Chi Cheung and Valerio Terragni and Hengcheng Zhu and Jialun Cao,2024,"Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024",String A,INCLUDE,
127,Regression mutation testing,Lingming Zhang and Darko Marinov and Lu Zhang and Sarfraz Khurshid,2012,Association for Computing Machinery (ACM),String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
128,Test-case generation for embedded simulink via formal concept analysis,Nannan He and Philipp RÃ¼mmer and Daniel Kroening,2011,Proceedings - Design Automation Conference,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
129,Is mutation an appropriate tool for testing experiments?,J. H. Andrews and L. C. Briand and Y. Labiche,2005,"Proceedings - 27th International Conference on Software Engineering, ICSE05",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
130,Using fault history to improve mutation reduction,Laura Inozemtseva and Hadi Hemmati and Reid Holmes,2013,"2013 9th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2013 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
131,Selective mutation testing for concurrent code,Milos Gligoric and Lingming Zhang and Cristiano Pereira and Gilles Pokam,2013,"2013 International Symposium on Software Testing and Analysis, ISSTA 2013 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
132,The major mutation framework: Efficient and scalable mutation analysis for Java,RenÃ© Just,2014,"2014 International Symposium on Software Testing and Analysis, ISSTA 2014 - Proceedings",String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
133,Effective fault localization via mutation analysis: A selective mutation approach,Mike Papadakis and Yves Le Traon,2014,Proceedings of the ACM Symposium on Applied Computing,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
134,Assessing Effectiveness of Test Suites: What Do We Know and What Should We Do?,Peng Zhang and Yang Wang and Xutong Liu and Zeyu Lu and Yibiao Yang and Yanhui Li and Lin Chen and Ziyuan Wang and Chang Ai Sun and Xiao Yu and Yuming Zhou,2024,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
135,Threats to the validity of mutation-based test assessment,Mike Papadakis and Christopher Henard and Mark Harman and Yue Jia and Yves Le Traon,2016,ISSTA 2016 - Proceedings of the 25th International Symposium on Software Testing and Analysis,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
136,Predictive mutation testing,Jie Zhang and Ziyi Wang and Lingming Zhang and Dan Hao and Lei Zang and Shiyang Cheng and Lu Zhang,2016,ISSTA 2016 - Proceedings of the 25th International Symposium on Software Testing and Analysis,String B,EXCLUDE,IC2 â€” xuáº¥t báº£n trÆ°á»›c 2018
137,Investigating Coverage Guided Fuzzing with Mutation Testing,Ruixiang Qian and Quanjun Zhang and Chunrong Fang and Lihua Guo,2022,ACM International Conference Proceeding Series,String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
