project,version,gpt_mutation_score,gpt_selected,gpt_killed,random_mutation_score,random_selected,random_killed,seed,diff
JacksonCore,3f,0.6845637583892618,149,102,0.5734265734265734,143,82,2026,0.11113718496268832
JacksonCore,4f,0.625,24,15,0.6538461538461539,26,17,2026,-0.028846153846153855
JacksonCore,5f,0.6428571428571429,14,9,0.42857142857142855,7,3,2026,0.21428571428571436
JacksonCore,6f,0.8235294117647058,17,14,0.4,10,4,2026,0.4235294117647058
JacksonCore,7f,1.0,5,5,0.8333333333333334,6,5,2026,0.16666666666666663
JacksonCore,8f,0.8260869565217391,23,19,0.5555555555555556,18,10,2026,0.27053140096618356
JacksonCore,9f,0.6845637583892618,149,102,0.6749116607773852,283,191,2026,0.009652097611876576
Codec,10f,0.0,0,0,0.5,2,1,42,-0.5
Codec,1f,1.0,11,11,0.7368421052631579,19,14,42,0.26315789473684215
Codec,2f,0.6875,32,22,0.9545454545454546,22,21,42,-0.2670454545454546
Codec,3f,0.8548387096774194,62,53,0.9122807017543859,57,52,42,-0.05744199207696654
Codec,4f,0.8780487804878049,41,36,0.75,24,18,42,0.12804878048780488
Codec,5f,0.967741935483871,31,30,0.9166666666666666,24,22,42,0.05107526881720437
Codec,6f,0.75,4,3,0.8,5,4,42,-0.050000000000000044
Codec,7f,0.875,40,35,0.8888888888888888,27,24,42,-0.01388888888888884
Codec,8f,0.75,40,30,0.84,25,21,42,-0.08999999999999997
Codec,9f,0.8333333333333334,48,40,0.7586206896551724,29,22,42,0.074712643678161
Csv,10f,0.6956521739130435,23,16,1.0,14,14,42,-0.30434782608695654
Csv,1f,0.8333333333333334,6,5,0.6,5,3,42,0.2333333333333334
Csv,2f,1.0,3,3,1.0,1,1,42,0.0
Csv,3f,1.0,7,7,1.0,4,4,42,0.0
Csv,4f,0.8571428571428571,7,6,0.6666666666666666,3,2,42,0.19047619047619047
Csv,5f,0.88,25,22,0.6666666666666666,12,8,42,0.21333333333333337
Csv,6f,1.0,3,3,1.0,1,1,42,0.0
Csv,7f,0.6666666666666666,6,4,1.0,5,5,42,-0.33333333333333337
Csv,8f,0.0,13,0,0.0,11,0,42,0.0
Csv,9f,1.0,2,2,0.0,0,0,42,1.0
JacksonCore,10f,0.6363636363636364,44,28,0.5925925925925926,54,32,42,0.043771043771043794
JacksonCore,1f,0.5531914893617021,47,26,0.6744186046511628,43,29,42,-0.12122711528946062
JacksonCore,2f,0.6710526315789473,228,153,0.6199095022624435,221,137,42,0.05114312931650389
JacksonCore,3f,0.6845637583892618,149,102,0.5973154362416108,149,89,42,0.08724832214765099
JacksonCore,4f,0.625,24,15,0.64,25,16,42,-0.015000000000000013
JacksonCore,5f,0.6428571428571429,14,9,0.4,5,2,42,0.24285714285714288
JacksonCore,6f,0.8235294117647058,17,14,0.6,5,3,42,0.22352941176470587
JacksonCore,7f,1.0,5,5,0.0,0,0,42,1.0
JacksonCore,8f,0.8260869565217391,23,19,0.5909090909090909,22,13,42,0.2351778656126482
JacksonCore,9f,0.6845637583892618,149,102,0.6344827586206897,290,184,42,0.050080999768572054
